SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Microsoft Defender for Endpoint,Customize and configure attack surface reduction rules - Implementation,,"Implement the Attack surface reduction (ASR) rules as defined by BOI. 
In most cases, when you configure attack surface reduction capabilities, you can choose from among several methods:
- Microsoft Endpoint Manager (which now includes Microsoft Intune and Microsoft Endpoint Configuration Manager)
- Group Policy
- PowerShell cmdlets (Remediation)",Ad hoc,Monitoring,,,RACI,Understand and use attack surface reduction (ASR) | Microsoft Docs
Microsoft Defender for Endpoint,Enable application control,Attack surface reduction,"To help mitigate security threats by restricting the applications that users are allowed to run and the code that runs in the System Core (kernel). 
Turn on outside of Defenbder but alerts managed in Defender",Ad hoc,Support,,,RACI,Application Control for Windows - Windows security | Microsoft Docs
Microsoft Defender for Endpoint,Exploit protection,Attack surface reduction,"To help protect against malware that uses exploits to infect devices and spread. Exploit protection consists of many mitigations that can be applied to either the operating system or individual apps.
Turn on outside of Defenbder but alerts managed in Defender",Ad hoc,Support,,,RACI,Turn on exploit protection to help mitigate against attacks | Microsoft Docs
Microsoft Defender for Endpoint,Network protection,Attack surface reduction,"To prevent employees from using any application to access dangerous domains that may host phishing scams, exploits, and other malicious content on the internet. (Configure and turn on)
Turn on outside of Defenbder but alerts managed in Defender",Ad hoc,Support,,,RACI,Turn on network protection | Microsoft Docs
Microsoft Defender for Endpoint,Controlled folder access,Attack surface reduction,"Protect valuable data from malicious apps and threats, such as ransomware. Controlled folder access is included with Windows 10, Windows 11, and Windows Server 2019. Controlled folder access is also included as part of the modern, unified solution for Windows Server 2012R2 and 2016.
Turn on outside of Defenbder but alerts managed in Defender",Ad hoc,Support,,,RACI,Enable controlled folder access | Microsoft Docs
Microsoft Defender for Endpoint,Attack surface reduction,Attack surface reduction,Attack surface reduction rules (ASR rules) help prevent actions that malware often abuses to compromise devices and networks.,Ad hoc,Support,,,RACI,Enable attack surface reduction rules | Microsoft Docs
Microsoft Defender for Endpoint,Network firewall,Attack surface reduction,"You can use Windows Defender Firewall to control access to the device from the network. You can create rules that allow or block network traffic in either direction based on your business requirements. You can also create IPsec connection security rules to help protect your data as it travels across the network from device to device.
Turn on outside of Defenbder but alerts managed in Defender",Ad hoc,Support,,,RACI,Windows Defender Firewall with Advanced Security deployment overview (Windows) - Windows security | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Security operations dashboard,Support,"Provide a high level overview of where detections were seen and highlights where response actions are needed.
(A generic tyask, already covered, Security = SOC; Operational = Kyndryl)",Daily,Monitoring,,,RACI,Microsoft Defender Security Centre Security operations dashboard | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Security operations dashboard - Remediate Actions,,"Remediate where detections are highlighted with appropriate response.
(A generic tyask, already covered, Security = SOC; Operational = Kyndryl)",Daily,Monitoring,,,RACI,Microsoft Defender Security Centre Security operations dashboard | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Threat & Vulnerability Management dashboard,Support,"Use the vulnerability management capability in the Microsoft 365 Defender portal to:
- View your exposure score and Microsoft Secure Score for Devices, along with top security recommendations, software vulnerability, remediation activities, and exposed devices
- Correlate EDR insights with endpoint vulnerabilities and process them
- Select remediation options to triage and track the remediation tasks
- Select exception options and track active exceptions",Daily,Monitoring,,,RACI,Dashboard insights | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Threat analytics dashboard ,Support,"Each report provides a detailed analysis of a threat and extensive guidance on how to defend against that threat. It also incorporates data from your network, indicating whether the threat is active and if you have applicable protections in place.",Daily,Monitoring,,,RACI,Track and respond to emerging threats with Microsoft Defender for Endpoint threat analytics | Microsoft Docs
Microsoft Defender for Endpoint,Execute recommended mitigation actions,Support,"In the Mitigations section, review the list of specific actionable recommendations that can help you increase your organizational resilience against the threat. (related to previous task)",Ad hoc,Support,,,RACI,Track and respond to emerging threats with Microsoft Defender for Endpoint threat analytics | Microsoft Docs
Microsoft Defender for Endpoint,Onboard new devices,Support,Deploy Defender for Endpoint - Laptop/Desktop/VDIs/Mobiles,Ad hoc,Support,,,RACI,Onboard to the Microsoft Defender for Endpoint service | Microsoft Docs
Microsoft Defender for Endpoint,Onboard new devices,,Deploy Defender for Endpoint - VDI,,,,,RACI,
Microsoft Defender for Endpoint,Onboard new devices,,Deploy Defender for Endpoint - Servers,Ad hoc,,,,RACI,Onboard to the Microsoft Defender for Endpoint service | Microsoft Docs
Microsoft Defender for Endpoint,Opening a case with Premier Support,Support,"Agreed process in place, (in relation to malfunction of the Defender Infrastructure)",Ad hoc,Troubleshooting,,,RACI,Microsoft Support
Microsoft Defender for Endpoint,Monitor the Security operations dashboard,Support,"The dashboard displays a snapshot of:
Active alerts
Devices at risk
Sensor health
Service health
Daily devices reporting
Active automated investigations
Automated investigations statistics
Users at risk
Suspicious activities",Daily,Monitoring,,,RACI,Microsoft Defender Security Centre Security operations dashboard | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Defender for Endpoint Incidents queue,Support,"Show a collection of incidents that were flagged from devices in your network. It helps you sort through incidents to prioritize and create an informed cybersecurity response decision. 
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Daily,Monitoring,,,RACI,View and organize the Incidents queue | Microsoft Docs
Microsoft Defender for Endpoint,Organize the Defender for Endpoint Incidents queue,Support,"Apply the filters to limit the list of incidents and get a more focused view.
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Monitoring,,,RACI,View and organize the Incidents queue | Microsoft Docs
Microsoft Defender for Endpoint,Manage Defender for Endpoint incidents,Support,"Manage and remediate incidents by selecting an incident from the Incidents queue or the Incidents management pane.
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Monitoring,,,RACI,Manage Microsoft Defender for Endpoint incidents | Microsoft Docs
Microsoft Defender for Endpoint,Investigate incidents in Defender for Endpoint,Support,"Investigate incidents that affect your network, understand what they mean, and collate evidence to resolve them.
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Monitoring,,,RACI,Investigate incidents in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Monitor the Defender for Endpoint Alerts queue,Support,"The Alerts queue shows a list of alerts that were flagged from devices in your network. (In Sentinel)
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Daily,Monitoring,,,RACI,View and organize the Microsoft Defender for Endpoint Alerts queue | Microsoft Docs
Microsoft Defender for Endpoint,Organize the Defender for Endpoint Alerts queue,Support,"Apply the filters to limit the list of alerts and get a more focused view of the alerts.
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Monitoring,,,RACI,View and organize the Microsoft Defender for Endpoint Alerts queue | Microsoft Docs
Microsoft Defender for Endpoint,Manage Defender for Endpoint alerts,Support,"Notifies you of possible malicious events, attributes, and contextual information through alerts. 
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Daily,Monitoring,,,RACI,Manage Microsoft Defender for Endpoint alerts | Microsoft Docs
Microsoft Defender for Endpoint,Investigate Defender for Endpoint alerts,Support,"Select an alert from the alerts queue to go to alert page. Then take actions toward the selected alert.
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Troubleshooting,,,RACI,Investigate Microsoft Defender for Endpoint alerts | Microsoft Docs
Microsoft Defender for Endpoint,Remediate Defender for Endpoint alerts,,"Remediate appropriate alerts from the alerts queue to minimise risk
This task is performed in Sentinel and Defender will only be referred to for further alalysis of specific incidents/alerts",Ad hoc,Operational Support,,,RACI,Investigate Microsoft Defender for Endpoint alerts | Microsoft Docs
Microsoft Defender for Endpoint,Investigate a file associated with a Defender for Endpoint alert,Support,"Investigate the details of a file associated with a specific alert, behaviour, or event to help determine if the file exhibits malicious activities, identify the attack motivation, and understand the potential scope of the breach.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Troubleshooting,,,RACI,Investigate Microsoft Defender for Endpoint files | Microsoft Docs
Microsoft Defender for Endpoint,Remediate relevant file/files associated with a Defender for Endpoint alert,,"Remediate all files that pose a threat and mitigate against future occurrence.
This is done in Sentinel, (Single Pane of Glass)
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate Microsoft Defender for Endpoint files | Microsoft Docs
Microsoft Defender for Endpoint,Investigate devices in Defender for Endpoint,Support,"Investigate the details of an alert raised on a specific device to identify other behaviours or events that might be related to the alert or the potential scope of the breach.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. 
",Ad hoc,Troubleshooting,,,RACI,Investigate devices in the Defender for Endpoint Devices list | Microsoft Docs
Microsoft Defender for Endpoint,Remediate relevant devices associated with a Defender for Endpoint alert,,"Remediate specific devices where a breach has occurred or is in risk of occurrence.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate devices in the Defender for Endpoint Devices list | Microsoft Docs
Microsoft Defender for Endpoint,Investigate an IP address associated with a Defender for Endpoint alert,Support,"Identifying all devices in the organization that communicated with a suspected or known malicious IP address, such as Command and Control (C2) servers, helps determine the potential scope of breach, associated files, and infected devices.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Troubleshooting,,,RACI,Investigate an IP address associated with an alert | Microsoft Docs
Microsoft Defender for Endpoint,Remediate relevant devices with suspicious IP addresses associated with a Defender for Endpoint alert,,"Remediate all  devices in the organization that communicated with a suspected or known malicious IP address.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate an IP address associated with an alert | Microsoft Docs
Microsoft Defender for Endpoint,Investigate a domain associated with a Defender for Endpoint alert,Support,"Investigate a domain to see if devices and servers in your enterprise network have been communicating with a known malicious domain.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Troubleshooting,,,RACI,Investigate Microsoft Defender for Endpoint domains | Microsoft Docs
Microsoft Defender for Endpoint,Remediate all devices that have been communicating with a malicious domain associated with a Defender for Endpoint alert,,"Remediate all devices and servers in your enterprise network that have been communicating with a known malicious domain. 
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate Microsoft Defender for Endpoint domains | Microsoft Docs
Microsoft Defender for Endpoint,Investigate connection events that occur behind forward proxies,Support,"Network connection monitoring from different levels of the network stack. A challenging case is when the network uses a forward proxy as a gateway to the Internet.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Troubleshooting,,,RACI,Investigate connection events that occur behind forward proxies | Microsoft Docs
Microsoft Defender for Endpoint,Remediate relevant suspicious connection that occur behind forward proxies,,"Network connection monitoring from different levels of the network stack. A challenging case is when the network uses a forward proxy as a gateway to the Internet. Remediate all identified suspicious component
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate connection events that occur behind forward proxies | Microsoft Docs
Microsoft Defender for Endpoint,Investigate a user account in Defender for Endpoint,Support,"Identify user accounts with the most active alerts (displayed on dashboard as ""Users at risk"") and investigate cases of potential compromised credentials, or pivot on the associated user account when investigating an alert or device to identify possible lateral movement between devices with that user account.
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Troubleshooting,,,RACI,Investigate a user account in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Remediate all suspicious user account in Defender for Endpoint,,"Remediate all  user accounts identified as  ""Users at risk"") and identified cases of potential compromised credentials
This is covered in the generic task ""Investigate a Sentinel Incident"". Alerts get coorelated in Defendewr and forwarded to Sentinel as a single Incident of a consolidation of incidents. ",Ad hoc,Operational Support,,,RACI,Investigate a user account in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,View and organize the Defender for Endpoint device inventory,Support,"Show a list of the devices in your network where alerts were generated. By default, the queue displays devices seen in the last 30 days. This is a routine Security and Operational Task, possibly included in other tasks above. .
",Weekly,Monitoring,,,RACI,Device inventory | Microsoft Docs
Microsoft Defender for Endpoint,Remediate all identified breaches or potential breaches,,"Use this list to plan and execute remediation on impacted devices. This is going to get covered in Moinitor, Investigate and Remediate Incidents""",Weekly,Operational Support,,,RACI,Device inventory | Microsoft Docs
Microsoft Defender for Endpoint,Create and manage device tags,Support,"Add tags on devices to create a logical group affiliation. Device tags support proper mapping of the network, enabling you to attach different tags to capture context and to enable dynamic list creation as part of an incident.",Ad hoc,Support,,,RACI,Create and manage device tags | Microsoft Docs
Microsoft Defender for Endpoint,Take response actions on a device,Support,"Quickly respond to detected attacks by isolating devices or collecting an investigation package. After taking action on devices, you can check activity details on the Action centre.
This is going to get covered in Moinitor, Investigate and Remediate Incidents""",Ad hoc,Troubleshooting,,,RACI,Take response actions on a device in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Take response actions on a file,Support,"Quickly respond to detected attacks by stopping and quarantining files or blocking a file. After taking action on files, you can check on activity details in the Action centre.
This is going to get covered in Moinitor, Investigate and Remediate Incidents""",Ad hoc,Troubleshooting,,,RACI,Take response actions on a file in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Review and approve actions following an automated investigation,Support,Review pending and completed actions,Ad hoc,Troubleshooting,,,RACI,Review remediation actions following automated investigations | Microsoft Docs
Microsoft Defender for Endpoint,View details and results of automated investigations,Support,"Depending on the particular threat and how automated investigation and remediation capabilities are configured for your organization, some remediation actions are taken automatically, and others require approval. If you're part of your organization's security operations team, you can view pending and completed remediation actions in the Action centre.
SOC needs access to the Defender Portal for this",Ad hoc,Troubleshooting,,,RACI,Visit the Action centre to see remediation actions | Microsoft Docs
Microsoft Defender for Endpoint,Investigate entities on devices using live response,Support,"Live response gives security operations teams instantaneous access to a device (also referred to as a machine) using a remote shell connection. This gives you the power to do in-depth investigative work and take immediate response actions to promptly contain identified threats in real time.
Further analysis of a Sentenal Alert can be found in Defender and or remote device
This is going to get covered in Moinitor, Investigate and Remediate Incidents""",Ad hoc,Troubleshooting,,,RACI,Investigate entities on devices using live response in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Manage Threat protection reports,Support,"The threat protection report provides high-level information about alerts generated in your organization. The report includes trending information showing the detection sources, categories, severities, statuses, classifications, and determinations of alerts across time.",Monthly,Monitoring,,,RACI,Threat protection report in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Manage device health and compliance reports,Support,"The devices status report provides high-level information about the devices in your organization. The report includes trending information showing the sensor health state, antivirus status, OS platforms, and Windows 10 (and Windows 11) versions.",Weekly,Monitoring,,,RACI,Device health and compliance report in Microsoft Defender for Endpoint | Microsoft Docs
Microsoft Defender for Endpoint,Create and manage custom detection rules,Support,"Custom detection rules are rules you can design and tweak using advanced hunting queries. These rules let you proactively monitor various events and system states, including suspected breach activity and misconfigured endpoints.",Ad hoc,Support,,,RACI,Create and manage custom detection rules in Microsoft 365 Defender | Microsoft Docs
Microsoft Defender for Endpoint,Cl12-HC-BRR001 ,,"Install, operate and maintain anti-virus software and anti-virus software upgrades for all Supplier managed servers in scope as set out in Schedule 1X which indicates that AntiVirus software is required, and all Supplier managed workstations to ensure detection, prevention and recovery to protect against malicious code.",Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,CL12-HC-BRR002 Provide Anti-Virus protection for Supplier managed Services as follows:,,"1.	PureMessage, (Sophos) is provided through built and licensed anti[1]virus functionality within the PureMessage. 
2.	Microsoft Exchange employs Symantec Mail Security for Microsoft Exchange.
1. Windows Servers and Red-Hat Linux Servers use Symantec Endpoint Protection and as specified within Annexure 2C (Measuring Tools and Methodologies).
2. NetApp use Sophos Anti-Virus as specified within Annexure 2C (Measuring Tools and Methodologies). P NA (Add Defender to the CSD)",Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,CL12-HC-BRR002 Provide Anti-Virus protection for Supplier managed Services as follows:,,"1. Desktops, Laptops and VDIs use Symantec Endpoint Protection and as specified within Annexure 2C (Measuring Tools and Methodologies).
",Ad hoc ,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,Cl12-HC-BRR003 Provide Anti-Malware functions as follows:,,"1.	Using the Symantec Endpoint Protection for Windows Desktops, Laptops and VDIs for Network Intrusion Prevention, Browser Intrusion Prevention, Download “Insight” Protection, Symantec “Sonar” function, Early Launch Anti-Malware, Endpoint Protection Firewall and Application Device control policy.
2.	Using the Symantec Endpoint Protection Product for Windows Servers for Download “Insight” Protection, Symantec “Sonar” function.
3.	Using the Symantec Endpoint Protection Product for Red Hat Linux Servers for Download “Insight” Protection, Symantec “Sonar”  function. 
4.	Provide additional Anti-Malware functions as agreed between Supplier and BoI
5.	Using the Trend Micro Deep Security Manager Product for windows 2003 servers for Antimalware and Web Repudiation.
(Add Defender to the CSD)",Weekly ,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,Cl12-HC-BRR004 Provide Supplier with the associated BoI processes as per Appendix F: Associated BoI Processes. ,,Provide Supplier with the associated BoI processes as per Appendix F: Associated BoI Processes. BOI responsible for sharing the process per Appendix F,Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,Cl12-HC-BRR007 Provide consulting Services for anti-virus protection.,,Provide consulting Services for anti-virus protection.,Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,"Cl12-HC-BRR009 Install, update, and configure Host-based Intrusion Detection System (HIDS) Software, as requested by BoI",,"Install, update, and configure Host-based Intrusion Detection System (HIDS) Software, as requested by BoI. This incudes Defender ? This is not required ?",Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,"Cl12-HC-BRR010 Ensure necessary Symantec Endpoint Protection licenses, including a subscription to new releases, patches, enterprise support, maintenance, and any other upgrades and pattern updates are in place for the term of the Services (effective 30th June 2021)
",,"Ensure necessary Symantec Endpoint Protection licenses, including a subscription to new releases, patches, enterprise support, maintenance, and any other upgrades and pattern updates are in place for the term of the Services (effective 30th June 2021), E5 licences will include Defender licences",Ad hoc,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,AV System Housekeeping Tasks ,,"Cl12-HC-BRR006 Develop any plans necessary to provide anti-virus protection. (Major release of new software)
Notes
1.This task needs to be update for each customer during the on boarding process
Daily Task:
1.	AV Remediation update 
2.	Health check for both SEPM 14 & SEPM12 
3.	SEPM report for both SPEM14 & SPEM12 to client
4.	Delete Duplicates from the Consoles
5.	Moving machines to their specific groups
6.	Raising Mal-functioning tickets for workstations
7.	Raising RITM ‘s for Servers OOD. 
8.	Raising tickets for low disk space 
9.	Raising tickets for Lansweeper 
10.	Raising tickets for SEPM12 Machines Sylink replacement
11.	Compliance report for Servers, Workstations, Sophos Servers
12.	Daily SLA report
13.	Risk and NTP report to IBM
Monthly Task:
1.	Monthly Metrics (For IBM Security) 	
2.	Monthly Compliance Extract (For IBM Security)
3.	Monthly Risk Report to Lisa (First week of every Month)	
Quarterly Task:
SEPM ID Revalidation",Daily,,,,CSD,Kyndryl Work Instruction
Microsoft Defender for Endpoint,AV System Daily Checks and Tasks: ,,"Regularly scheduled
1.	Scan for malicious code weekly. 
2.	Scan all e-mails.
3.	Scan hard drives, diskettes, and other temporary storage devices (for example, USB memory sticks, PCMCIA flashcards, FireWire hard drives) upon demand.
Cl12-HC-BRR008 Provide daily and monthly reports that contain a summary of the number of viruses detected and cleaned, as well as a list of viruses caught.",Daily,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,AV System Emergency Updates ,,"Refer:
WI_1.0_AV - Symantec Endpoint Protection Access.doc

This referes to a list of associated BoI ITIL aligned processes that Supplier Information Security activities must adhere to (where required). This list will change based on the roll-out of the BoI ITIL processes - incl IM/AM/CM/EM, etc",Ad hoc ,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Non-Compliant System Detection: ,,"If a client is not updated with latest definitions, we need to check the following, list in Work Instruction.",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Alert Handling ,,"This is triggered by Operational Alerts, including Defender Health Ckeck alerts.  ",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Call Raising for Problem Systems:,,"This is the standard banks Problem Management process, Service Now Ticket Tool & Service Desk managed",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,AV System Engine Upgrade:,,Defender upgrade,Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,AV System Software Update:,,"Install updates to anti-virus software: 
a. As a minimum as required by the Service Levels after such updates are made generally available 
b. For Category 4 and 5 virus, with BoI approval, where possible.  Where BoI approval has not been obtained prior updates to the anti-virus software, retrospective approval should be obtained from BoI, such approval will not be unreasonably withheld or delayed; and 
c. Earlier if needed to avoid a threat posed by Harmful Code, or if directed by BoI. 
(Symantec once a day - Deploy to entire estate of segment) ",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,New Virus or Possible Virus Threat ,,"Update virus signatures where relevant: 
a. Daily for servers (including mail servers, database servers, gateway servers) and workstations/end[1]points with network access to virus signature update server. 
b. Weekly for other network connected servers.",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Major Virus Incident Management & Reporting: ,,"Cl12-HC-BRR005 
1.	Respond to virus attack Incidents, including:
a.	Take immediate steps to notify the ServiceDesk 
b.	Initiate corrective action in accordance with the agreed Incident management processes 
c.	Assess the scope of damage, arrest the spread and progressive damage from the virus, eradicate the virus and restore all               data and software to its original state. 
2.	Provide proactive alerts via the ServiceDesk to Authorised Users relative to current virus threats either specific to BoI's environment, encountered in the Supplier’s environment, or based on industry information. – Reword 
3.	Provide additional temporary resources in the event of a major computer virus outbreak so BoI's performance does not degrade because of an unavailability of Supplier resources. ",Ad hoc ,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Investigate a Server that is not updating: ,," Kyndryl WI, Definition file",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,"Investigate a Workstation that is not updating, including VDI: ",," Kyndryl WI, Definition file",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Manual virus removal from a Server,,"Automatic removal but if unsuccessful  manually remove, (Stinger tool)",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,"Manual virus removal from a Workstation, including VDI: ",,"Automatic removal but if unsuccessful  manually remove, (Stinger tool)",Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Weekly Report Generation/Distribution:,,Map Computer Status Report from SEP to Defender – Consider GDPR requirements. ,Weekly,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Download Test & Distribute Virus Removal Tool,,In event Defender does not automatically remove,Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Manage Virus Definition File Testing. ,,Automatically set out in the defender too. ,Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Problem escalation to AV Vendor. ,,This relates to the operatio of the Defender tool and technical issues related to Defenmder. Kyndryl will have a direct line to MS for Operational Issues.,Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender for Endpoint,Periodic Review and Check of AV Policies. ,,This will continue and will be reported on in the Monthly Reporting process,Ad hoc,,,,"Kyndryl/
Existing",Kyndryl Work Instruction
Microsoft Defender For Identity,Add user to a group in AAD (RBAC model for Azure ATP portal),Security Tasks,Defender for Identity uses Azure AD security groups as a basis for role groups. The role groups can be managed from the Groups management page. Only Azure AD users can be added or removed from security groups.,Ad hoc,Support,,,,Microsoft Defender for Identity role groups for access management | Microsoft Docs
Microsoft Defender For Identity,Excluding entities from detections,Security Tasks,"There are two ways you can manually exclude users, computers, domains, or IP addresses for a detection. You can either do so on the Configuration page under Exclusions, or directly from the security alert.",Ad hoc,Support,,,,Microsoft Defender for Identity configure detection exclusions | Microsoft Docs
Microsoft Defender For Identity,Manage sensitive account,Security Tasks,Sensitive group modification detection and lateral movement path rely on an entity's sensitivity status.,Weekly,Support,,,,Manage sensitive or honeytoken accounts with Microsoft Defender for Identity | Microsoft Docs
Microsoft Defender For Identity,Add new sensor,Security Tasks,Install the Microsoft Defender for Identity sensor on a domain controller.,Ad hoc,Support,,,,Install Microsoft Defender for Identity sensor QuickStart | Microsoft Docs
Microsoft Defender For Identity,Azure ATP monitored activities search and filter,Security Tasks,Activities detected by Defender for Identity on your network can be searched and filtered for easy drill-down and organization during your research and investigation into security alerts.,Daily,Monitoring,,,,Microsoft Defender for Identity Monitored Activities Filter and Search | Microsoft Docs
Microsoft Defender For Identity,Configure detection exclusions and honeytoken accounts,Security Tasks,"There are two ways you can manually exclude users, computers, domains, or IP addresses for a detection. You can either do so on the Configuration page under Exclusions, or directly from the security alert.",Ad hoc,Monitoring,,,,Microsoft Defender for Identity configure detection exclusions | Microsoft Docs
Microsoft Defender For Identity,Opening a case with Premier Support,Security Tasks,There is an existing process,Ad hoc,Troubleshooting,,,,Microsoft Support
Microsoft Defender For Identity,Manage alerts,Security Tasks,"Microsoft Defender for Identity security alerts explain the suspicious activities detected by Defender for Identity sensors on your network, and the actors and computers involved in each threat. Alert evidence lists contain direct links to the involved users and computers, to help make your investigations easy and direct.",Daily,Monitoring,,,,Microsoft Defender for Identity security alert guide | Microsoft Docs
Microsoft Defender For Identity,Monitor domain controller coverage,Security Tasks,"Once a Defender for Identity sensor is installed and configured on a domain controller in your network, the sensor communicates with the Defender for Identity service on a constant basis sending sensor status, health and version information, and collected Active Directory events and changes.",Weekly,Monitoring,,,,Monitoring domain controllers and installed sensors installed on your domain controllers using Microsoft Defender for Identity | Microsoft Docs
Microsoft Defender For Identity,Set Azure ATP notifications,Security Tasks,Microsoft Defender for Identity can notify you when it detects a suspicious activity and issues a security alert or a health alert via email.,Ad hoc,Monitoring,,,,Set Microsoft Defender for Identity notifications | Microsoft Docs
Microsoft Defender For Identity," understand, classify, remediate, and prevent Reconnaissance alerts",Security Tasks,"Typically, cyberattacks are launched against any accessible entity, such as a low-privileged user, and then quickly move laterally until the attacker gains access to valuable assets. Valuable assets can be sensitive accounts, domain administrators, or highly sensitive data. ",Daily,Monitoring,,,,Microsoft Defender for Identity reconnaissance phase security alerts | Microsoft Docs
